::1 - - [27/Jul/2022:07:46:39 +0000] "PUT /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.0" 404 189 "-" "Go-http-client/1.1"
::ffff:127.0.0.1 - - [27/Jul/2022:07:46:41 +0000] "GET /.DS_Store HTTP/1.0" 404 148 "-" "Go-http-client/1.1"
::ffff:127.0.0.1 - - [27/Jul/2022:07:48:16 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36"
::ffff:127.0.0.1 - - [27/Jul/2022:07:48:36 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36"
::1 - - [27/Jul/2022:08:58:15 +0000] "GET /.git/config HTTP/1.0" 404 150 "-" "python-requests/2.25.1"
::ffff:127.0.0.1 - - [27/Jul/2022:09:18:12 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
::1 - - [27/Jul/2022:12:54:53 +0000] "GET /api/v1/users/6264aab881428fe338d4dade HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [27/Jul/2022:12:54:53 +0000] "GET /api/v1/odkos HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [27/Jul/2022:12:54:53 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [27/Jul/2022:12:54:53 +0000] "GET /api/v1/binances HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [27/Jul/2022:12:54:53 +0000] "GET /api/v1/bolors HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [27/Jul/2022:12:54:54 +0000] "GET /api/v1/tops HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [27/Jul/2022:12:54:54 +0000] "GET /api/v1/technos HTTP/1.0" 200 16321 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [27/Jul/2022:12:54:54 +0000] "GET /api/v1/coins HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [27/Jul/2022:12:54:54 +0000] "GET /api/v1/binances HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [27/Jul/2022:12:54:54 +0000] "GET /api/v1/baykas HTTP/1.0" 200 28804 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [27/Jul/2022:12:54:54 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [27/Jul/2022:12:54:54 +0000] "GET /api/v1/bataas HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [27/Jul/2022:12:54:54 +0000] "GET /api/v1/bolors HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [27/Jul/2022:12:54:54 +0000] "GET /api/v1/deegiis HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [27/Jul/2022:12:54:54 +0000] "GET /api/v1/odkos HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [27/Jul/2022:12:54:54 +0000] "GET /api/v1/works?select=createdAt&sort=-createdAt&limit=1 HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [27/Jul/2022:12:54:54 +0000] "GET /api/v1/headerBanners?limit=10 HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [27/Jul/2022:12:54:54 +0000] "GET /api/v1/works?limit=100 HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [27/Jul/2022:12:54:54 +0000] "GET /api/v1/magazines?limit=50 HTTP/1.0" 200 194113 "-" "okhttp/3.14.9"
::1 - - [27/Jul/2022:12:55:56 +0000] "POST /api/v1/users/login HTTP/1.0" 401 138 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [27/Jul/2022:12:56:03 +0000] "POST /api/v1/users/login HTTP/1.0" 200 460 "-" "okhttp/3.14.9"
::1 - - [27/Jul/2022:12:56:03 +0000] "GET /api/v1/users/6264aab881428fe338d4dade HTTP/1.0" 200 186 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [27/Jul/2022:12:56:04 +0000] "GET /api/v1/tops HTTP/1.0" 200 4811 "-" "okhttp/3.14.9"
::1 - - [27/Jul/2022:12:56:04 +0000] "GET /api/v1/odkos HTTP/1.0" 200 10199 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [27/Jul/2022:12:56:04 +0000] "GET /api/v1/binances HTTP/1.0" 200 19696 "-" "okhttp/3.14.9"
::1 - - [27/Jul/2022:12:56:04 +0000] "GET /api/v1/bolors HTTP/1.0" 200 19139 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [27/Jul/2022:12:56:04 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 200 19072 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [27/Jul/2022:12:56:04 +0000] "GET /api/v1/technos HTTP/1.0" 200 16321 "-" "okhttp/3.14.9"
::1 - - [27/Jul/2022:12:56:04 +0000] "GET /api/v1/coins HTTP/1.0" 200 12866 "-" "okhttp/3.14.9"
::1 - - [27/Jul/2022:12:56:04 +0000] "GET /api/v1/binances HTTP/1.0" 200 19696 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [27/Jul/2022:12:56:04 +0000] "GET /api/v1/baykas HTTP/1.0" 200 28804 "-" "okhttp/3.14.9"
::1 - - [27/Jul/2022:12:56:04 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [27/Jul/2022:12:56:04 +0000] "GET /api/v1/bataas HTTP/1.0" 200 17214 "-" "okhttp/3.14.9"
::1 - - [27/Jul/2022:12:56:05 +0000] "GET /api/v1/bolors HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [27/Jul/2022:12:56:05 +0000] "GET /api/v1/deegiis HTTP/1.0" 200 15902 "-" "okhttp/3.14.9"
::1 - - [27/Jul/2022:12:56:05 +0000] "GET /api/v1/odkos HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [27/Jul/2022:12:56:05 +0000] "GET /api/v1/works?select=createdAt&sort=-createdAt&limit=1 HTTP/1.0" 200 237 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [27/Jul/2022:12:56:05 +0000] "GET /api/v1/headerBanners?limit=10 HTTP/1.0" 200 766 "-" "okhttp/3.14.9"
::1 - - [27/Jul/2022:12:56:05 +0000] "GET /api/v1/magazines?limit=50 HTTP/1.0" 200 194113 "-" "okhttp/3.14.9"
::1 - - [27/Jul/2022:12:56:05 +0000] "GET /api/v1/works?limit=100 HTTP/1.0" 200 12003 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [27/Jul/2022:12:56:42 +0000] "GET /api/v1/users/6264aab881428fe338d4dade HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [27/Jul/2022:12:56:42 +0000] "GET /api/v1/magazines/6242b7d91aaad439817a4c70 HTTP/1.0" 200 194033 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [27/Jul/2022:14:44:16 +0000] "GET /api/v1/users/undefined HTTP/1.0" 500 250 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [27/Jul/2022:14:44:16 +0000] "GET /api/v1/odkos HTTP/1.0" 200 10199 "-" "okhttp/3.14.9"
::1 - - [27/Jul/2022:14:44:16 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 200 19072 "-" "okhttp/3.14.9"
::1 - - [27/Jul/2022:14:44:16 +0000] "GET /api/v1/binances HTTP/1.0" 200 19696 "-" "okhttp/3.14.9"
::1 - - [27/Jul/2022:14:44:16 +0000] "GET /api/v1/bolors HTTP/1.0" 200 19139 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [27/Jul/2022:14:44:16 +0000] "GET /api/v1/tops HTTP/1.0" 200 4811 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [27/Jul/2022:14:44:16 +0000] "GET /api/v1/coins HTTP/1.0" 200 12866 "-" "okhttp/3.14.9"
::1 - - [27/Jul/2022:14:44:16 +0000] "GET /api/v1/technos HTTP/1.0" 200 16321 "-" "okhttp/3.14.9"
::1 - - [27/Jul/2022:14:44:16 +0000] "GET /api/v1/binances HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [27/Jul/2022:14:44:16 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [27/Jul/2022:14:44:16 +0000] "GET /api/v1/baykas HTTP/1.0" 200 28804 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [27/Jul/2022:14:44:17 +0000] "GET /api/v1/bataas HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [27/Jul/2022:14:44:17 +0000] "GET /api/v1/bolors HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [27/Jul/2022:14:44:17 +0000] "GET /api/v1/works?select=createdAt&sort=-createdAt&limit=1 HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [27/Jul/2022:14:44:17 +0000] "GET /api/v1/odkos HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [27/Jul/2022:14:44:17 +0000] "GET /api/v1/deegiis HTTP/1.0" 200 15902 "-" "okhttp/3.14.9"
::1 - - [27/Jul/2022:14:44:17 +0000] "GET /api/v1/headerBanners?limit=10 HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [27/Jul/2022:14:44:17 +0000] "GET /api/v1/works?limit=100 HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [27/Jul/2022:14:44:17 +0000] "GET /api/v1/magazines?limit=50 HTTP/1.0" 200 194113 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [27/Jul/2022:14:44:32 +0000] "GET /api/v1/users/undefined HTTP/1.0" 500 250 "-" "okhttp/3.14.9"
::1 - - [27/Jul/2022:14:44:32 +0000] "GET /api/v1/ariunzayas/6242b7d61aaad439817a4c59 HTTP/1.0" 200 18993 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [27/Jul/2022:14:44:45 +0000] "GET /api/v1/users/undefined HTTP/1.0" 500 250 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [27/Jul/2022:15:50:28 +0000] "GET /.aws/credentials HTTP/1.0" 404 155 "-" "Mozilla/5.0 (X11; Linux i686; rv:2.0b6pre) Gecko/20100907 Firefox/4.0b6pre"
::1 - - [27/Jul/2022:15:54:45 +0000] "GET /robots.txt HTTP/1.0" 404 149 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36"
::ffff:127.0.0.1 - - [27/Jul/2022:16:03:06 +0000] "GET /api/v1/users/undefined HTTP/1.0" 500 250 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [27/Jul/2022:16:03:07 +0000] "GET /api/v1/tops HTTP/1.0" 200 4811 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [27/Jul/2022:16:03:07 +0000] "GET /api/v1/odkos HTTP/1.0" 200 10199 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [27/Jul/2022:16:03:07 +0000] "GET /api/v1/binances HTTP/1.0" 200 19696 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [27/Jul/2022:16:03:07 +0000] "GET /api/v1/technos HTTP/1.0" 200 16321 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [27/Jul/2022:16:03:07 +0000] "GET /api/v1/bolors HTTP/1.0" 200 19139 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [27/Jul/2022:16:03:07 +0000] "GET /api/v1/coins HTTP/1.0" 200 12866 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [27/Jul/2022:16:03:07 +0000] "GET /api/v1/binances HTTP/1.0" 200 19696 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [27/Jul/2022:16:03:07 +0000] "GET /api/v1/bataas HTTP/1.0" 200 17214 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [27/Jul/2022:16:03:07 +0000] "GET /api/v1/baykas HTTP/1.0" 200 28804 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [27/Jul/2022:16:03:07 +0000] "GET /api/v1/deegiis HTTP/1.0" 200 15902 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [27/Jul/2022:16:03:07 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 200 19072 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [27/Jul/2022:16:03:07 +0000] "GET /api/v1/bolors HTTP/1.0" 200 19139 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [27/Jul/2022:16:03:07 +0000] "GET /api/v1/odkos HTTP/1.0" 200 10199 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [27/Jul/2022:16:03:07 +0000] "GET /api/v1/works?select=createdAt&sort=-createdAt&limit=1 HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [27/Jul/2022:16:03:07 +0000] "GET /api/v1/headerBanners?limit=10 HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [27/Jul/2022:16:03:07 +0000] "GET /api/v1/works?limit=100 HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [27/Jul/2022:16:03:08 +0000] "GET /api/v1/magazines?limit=50 HTTP/1.0" 200 194113 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [27/Jul/2022:16:11:54 +0000] "GET /robots.txt HTTP/1.0" 404 149 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::1 - - [27/Jul/2022:16:11:57 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "-" "Googlebot-Image/1.0"
::ffff:127.0.0.1 - - [27/Jul/2022:16:20:38 +0000] "GET /robots.txt HTTP/1.0" 404 149 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
::ffff:127.0.0.1 - - [27/Jul/2022:16:29:21 +0000] "GET /adminer.php HTTP/1.0" 404 150 "-" "RestSharp/107.3.0.0"
::1 - - [27/Jul/2022:16:29:23 +0000] "GET /adminer-4.3.1.php HTTP/1.0" 404 156 "-" "RestSharp/107.3.0.0"
::ffff:127.0.0.1 - - [27/Jul/2022:16:29:25 +0000] "GET /adminer-4.2.5.php HTTP/1.0" 404 156 "-" "RestSharp/107.3.0.0"
::1 - - [27/Jul/2022:16:29:27 +0000] "GET /adminer-4.6.2.php HTTP/1.0" 404 156 "-" "RestSharp/107.3.0.0"
::ffff:127.0.0.1 - - [27/Jul/2022:16:29:29 +0000] "GET /backup/adminer.php HTTP/1.0" 404 157 "-" "RestSharp/107.3.0.0"
::1 - - [27/Jul/2022:16:29:31 +0000] "GET /old/adminer.php HTTP/1.0" 404 154 "-" "RestSharp/107.3.0.0"
::ffff:127.0.0.1 - - [27/Jul/2022:16:42:20 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "-" "Googlebot-Image/1.0"
::1 - - [27/Jul/2022:17:32:50 +0000] "GET /.git/config HTTP/1.0" 404 150 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.88 Safari/537.36"
::ffff:127.0.0.1 - - [27/Jul/2022:17:32:54 +0000] "GET /.git/config HTTP/1.0" 404 150 "-" "Mozilla/5.0 (Linux; Android 11; HD1913) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [27/Jul/2022:17:33:00 +0000] "GET /.env HTTP/1.0" 404 143 "-" "Go-http-client/1.1"
::ffff:127.0.0.1 - - [27/Jul/2022:17:33:00 +0000] "GET /.DS_Store HTTP/1.0" 404 148 "-" "Go-http-client/1.1"
::1 - - [27/Jul/2022:17:33:00 +0000] "GET /.git/config HTTP/1.0" 404 150 "-" "Go-http-client/1.1"
::1 - - [27/Jul/2022:17:33:00 +0000] "GET /s/3137342e3133382e31392e313631/_/;/META-INF/maven/com.atlassian.jira/jira-webapp-dist/pom.properties HTTP/1.0" 404 239 "-" "Go-http-client/1.1"
::1 - - [27/Jul/2022:17:33:01 +0000] "GET /config.json HTTP/1.0" 404 150 "-" "Go-http-client/1.1"
::ffff:127.0.0.1 - - [27/Jul/2022:17:33:01 +0000] "GET /login.action HTTP/1.0" 404 151 "-" "Go-http-client/1.1"
::ffff:127.0.0.1 - - [27/Jul/2022:17:33:02 +0000] "GET /.git/config HTTP/1.0" 404 150 "-" "Go-http-client/1.1"
::1 - - [27/Jul/2022:17:33:02 +0000] "GET /info.php HTTP/1.0" 404 147 "-" "Go-http-client/1.1"
::1 - - [27/Jul/2022:17:33:02 +0000] "GET /server-status HTTP/1.0" 404 152 "-" "Go-http-client/1.1"
::ffff:127.0.0.1 - - [27/Jul/2022:17:33:02 +0000] "GET /telescope/requests HTTP/1.0" 404 157 "-" "Go-http-client/1.1"
::1 - - [27/Jul/2022:17:33:02 +0000] "GET /s/3137342e3133382e31392e313631/_/;/META-INF/maven/com.atlassian.jira/jira-webapp-dist/pom.properties HTTP/1.0" 404 239 "-" "Go-http-client/1.1"
::ffff:127.0.0.1 - - [27/Jul/2022:17:33:02 +0000] "GET /.env HTTP/1.0" 404 143 "-" "Go-http-client/1.1"
::ffff:127.0.0.1 - - [27/Jul/2022:17:33:03 +0000] "GET /login.action HTTP/1.0" 404 151 "-" "Go-http-client/1.1"
::1 - - [27/Jul/2022:17:33:03 +0000] "GET /config.json HTTP/1.0" 404 150 "-" "Go-http-client/1.1"
::ffff:127.0.0.1 - - [27/Jul/2022:17:33:25 +0000] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.0" 404 179 "https://novelistgroup.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.71 Safari/537.36"
::1 - - [27/Jul/2022:17:33:25 +0000] "GET /fonts/glyphicons-halflings-regular.woff HTTP/1.0" 404 178 "https://novelistgroup.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.71 Safari/537.36"
::ffff:127.0.0.1 - - [27/Jul/2022:17:33:25 +0000] "GET /fonts/glyphicons-halflings-regular.ttf HTTP/1.0" 404 177 "https://novelistgroup.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.71 Safari/537.36"
::1 - - [27/Jul/2022:17:33:49 +0000] "GET /.git/config HTTP/1.0" 404 150 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3191.0 Safari/537.36"
::1 - - [27/Jul/2022:17:53:45 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36"
::1 - - [27/Jul/2022:17:53:46 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36"
::ffff:127.0.0.1 - - [27/Jul/2022:17:53:47 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36"
::ffff:127.0.0.1 - - [27/Jul/2022:18:41:07 +0000] "GET /.env HTTP/1.0" 404 143 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:77.0) Gecko/20100101 Firefox/77.0"
::1 - - [27/Jul/2022:18:41:08 +0000] "GET /wp-content/ HTTP/1.0" 404 150 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:77.0) Gecko/20100101 Firefox/77.0"
::ffff:127.0.0.1 - - [27/Jul/2022:18:57:04 +0000] "GET /autodiscover/autodiscover.json?@test.com/owa/?&Email=autodiscover/autodiscover.json%3F@test.com HTTP/1.0" 404 169 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
::ffff:127.0.0.1 - - [27/Jul/2022:19:52:35 +0000] "GET /api/v1/articles?limit=3&sort=-createdAt HTTP/1.0" 200 26380 "https://icareer.mn/" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::1 - - [27/Jul/2022:20:42:55 +0000] "GET /owa/auth/logon.aspx HTTP/1.0" 404 158 "-" "Mozilla/5.0 zgrab/0.x"
::ffff:127.0.0.1 - - [27/Jul/2022:20:43:34 +0000] "GET /owa/auth/x.js HTTP/1.0" 404 152 "-" "Mozilla/5.0 zgrab/0.x"
::1 - - [27/Jul/2022:20:45:56 +0000] "GET /ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application HTTP/1.0" 404 214 "-" "Mozilla/5.0 zgrab/0.x"
::ffff:127.0.0.1 - - [27/Jul/2022:21:27:07 +0000] "POST /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.0" 404 190 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::ffff:127.0.0.1 - - [27/Jul/2022:22:41:20 +0000] "GET //feed/ HTTP/1.0" 404 145 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
::1 - - [27/Jul/2022:22:41:20 +0000] "GET //xmlrpc.php?rsd HTTP/1.0" 404 150 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
::ffff:127.0.0.1 - - [27/Jul/2022:22:41:20 +0000] "GET //blog/wp-includes/wlwmanifest.xml HTTP/1.0" 404 172 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
::1 - - [27/Jul/2022:22:41:20 +0000] "GET //web/wp-includes/wlwmanifest.xml HTTP/1.0" 404 171 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
::ffff:127.0.0.1 - - [27/Jul/2022:22:41:20 +0000] "GET //wordpress/wp-includes/wlwmanifest.xml HTTP/1.0" 404 177 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
::1 - - [27/Jul/2022:22:41:20 +0000] "GET //wp/wp-includes/wlwmanifest.xml HTTP/1.0" 404 170 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
::ffff:127.0.0.1 - - [27/Jul/2022:22:41:20 +0000] "GET //2020/wp-includes/wlwmanifest.xml HTTP/1.0" 404 172 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
::1 - - [27/Jul/2022:22:41:20 +0000] "GET //2019/wp-includes/wlwmanifest.xml HTTP/1.0" 404 172 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
::ffff:127.0.0.1 - - [27/Jul/2022:22:41:20 +0000] "GET //2021/wp-includes/wlwmanifest.xml HTTP/1.0" 404 172 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
::1 - - [27/Jul/2022:22:41:20 +0000] "GET //shop/wp-includes/wlwmanifest.xml HTTP/1.0" 404 172 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
::ffff:127.0.0.1 - - [27/Jul/2022:22:41:20 +0000] "GET //wp1/wp-includes/wlwmanifest.xml HTTP/1.0" 404 171 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
::1 - - [27/Jul/2022:22:41:20 +0000] "GET //test/wp-includes/wlwmanifest.xml HTTP/1.0" 404 172 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
::ffff:127.0.0.1 - - [27/Jul/2022:22:41:20 +0000] "GET //site/wp-includes/wlwmanifest.xml HTTP/1.0" 404 172 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
::1 - - [27/Jul/2022:22:41:20 +0000] "GET //cms/wp-includes/wlwmanifest.xml HTTP/1.0" 404 171 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
::1 - - [27/Jul/2022:22:53:59 +0000] "GET /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.0" 404 189 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::ffff:127.0.0.1 - - [27/Jul/2022:22:56:49 +0000] "GET /.git/config HTTP/1.0" 404 150 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:77.0) Gecko/20100101 Firefox/77.0"
