::1 - - [02/Sep/2022:00:54:11 +0000] "GET /api/v1/articles?limit=3&-createdAt HTTP/1.0" 200 116 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534+ (KHTML, like Gecko) BingPreview/1.0b"
::ffff:127.0.0.1 - - [02/Sep/2022:00:56:05 +0000] "GET //wp-includes/ID3/license.txt HTTP/1.0" 404 167 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
::1 - - [02/Sep/2022:00:56:05 +0000] "GET //feed/ HTTP/1.0" 404 145 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
::ffff:127.0.0.1 - - [02/Sep/2022:00:56:05 +0000] "GET //xmlrpc.php?rsd HTTP/1.0" 404 150 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
::1 - - [02/Sep/2022:00:56:05 +0000] "GET //blog/wp-includes/wlwmanifest.xml HTTP/1.0" 404 172 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
::ffff:127.0.0.1 - - [02/Sep/2022:00:56:05 +0000] "GET //web/wp-includes/wlwmanifest.xml HTTP/1.0" 404 171 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
::1 - - [02/Sep/2022:00:56:05 +0000] "GET //wordpress/wp-includes/wlwmanifest.xml HTTP/1.0" 404 177 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
::ffff:127.0.0.1 - - [02/Sep/2022:00:56:06 +0000] "GET //wp/wp-includes/wlwmanifest.xml HTTP/1.0" 404 170 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
::1 - - [02/Sep/2022:00:56:06 +0000] "GET //2020/wp-includes/wlwmanifest.xml HTTP/1.0" 404 172 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
::ffff:127.0.0.1 - - [02/Sep/2022:00:56:06 +0000] "GET //2019/wp-includes/wlwmanifest.xml HTTP/1.0" 404 172 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
::1 - - [02/Sep/2022:00:56:06 +0000] "GET //2021/wp-includes/wlwmanifest.xml HTTP/1.0" 404 172 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
::ffff:127.0.0.1 - - [02/Sep/2022:00:56:06 +0000] "GET //shop/wp-includes/wlwmanifest.xml HTTP/1.0" 404 172 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
::1 - - [02/Sep/2022:00:56:06 +0000] "GET //wp1/wp-includes/wlwmanifest.xml HTTP/1.0" 404 171 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
::ffff:127.0.0.1 - - [02/Sep/2022:00:56:06 +0000] "GET //test/wp-includes/wlwmanifest.xml HTTP/1.0" 404 172 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
::1 - - [02/Sep/2022:00:56:07 +0000] "GET //site/wp-includes/wlwmanifest.xml HTTP/1.0" 404 172 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
::ffff:127.0.0.1 - - [02/Sep/2022:00:56:07 +0000] "GET //cms/wp-includes/wlwmanifest.xml HTTP/1.0" 404 171 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
::ffff:127.0.0.1 - - [02/Sep/2022:01:49:33 +0000] "GET /api/v1/users/630e32efc4659423f29d6818 HTTP/1.0" 400 126 "-" "Expo/2.25.3.1015682 CFNetwork/1335.0.3 Darwin/21.6.0"
::ffff:127.0.0.1 - - [02/Sep/2022:01:49:33 +0000] "GET /api/v1/odkos HTTP/1.0" 304 - "-" "Expo/2.25.3.1015682 CFNetwork/1335.0.3 Darwin/21.6.0"
::1 - - [02/Sep/2022:01:49:33 +0000] "GET /api/v1/tops HTTP/1.0" 304 - "-" "Expo/2.25.3.1015682 CFNetwork/1335.0.3 Darwin/21.6.0"
::ffff:127.0.0.1 - - [02/Sep/2022:01:49:33 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 304 - "-" "Expo/2.25.3.1015682 CFNetwork/1335.0.3 Darwin/21.6.0"
::1 - - [02/Sep/2022:01:49:33 +0000] "GET /api/v1/binances HTTP/1.0" 304 - "-" "Expo/2.25.3.1015682 CFNetwork/1335.0.3 Darwin/21.6.0"
::ffff:127.0.0.1 - - [02/Sep/2022:01:49:33 +0000] "GET /api/v1/binances HTTP/1.0" 304 - "-" "Expo/2.25.3.1015682 CFNetwork/1335.0.3 Darwin/21.6.0"
